"id","user","userID","game","gameIndex","achieved","percent","total"
"206","tQ6R6WbBcoQMuRGQgSEKhPVflxh2","103","-KYGwYiX88lTpcf7ymiy","2","1175","74","1600"
"207","tQ6R6WbBcoQMuRGQgSEKhPVflxh2","103","-Kb2PxtCNp7eMdho6XhT","3","1200","71","1700"
"208","tQ6R6WbBcoQMuRGQgSEKhPVflxh2","103","-Kb2QGaNY_26a_Wr9x9O","4","1450","81","1800"
"209","tQ6R6WbBcoQMuRGQgSEKhPVflxh2","103","-Kb2QaaSFCZNSXI5rDt7","5","2975","91","3300"
"210","tQ6R6WbBcoQMuRGQgSEKhPVflxh2","103","-Kb2Qu3aXiGWrU0JKW05","6","3425","93","3700"
"211","tQ6R6WbBcoQMuRGQgSEKhPVflxh2","103","-Kb2REOhJH8of4ozu9EY","7","3100","92","3400"
"212","tQ6R6WbBcoQMuRGQgSEKhPVflxh2","103","-Kb2RUCuQw91AOVFq0lT","8","2625","91","2900"
"213","tathAIQslXdtspHBNzrcoearMgA2","104","-Kh9-MkGJohs9cDybQoN","1","1625","82","2000"
"214","uAJ4nRUy0KN4fCFdv3C0qzvv04M2","105","-KYFaxKbb0zqTbfQSrVC","1","2450","85","2900"
"215","uAJ4nRUy0KN4fCFdv3C0qzvv04M2","105","-KYFbB3vQnu-bWT-rtfS","2","1850","78","2400"
"216","uAJ4nRUy0KN4fCFdv3C0qzvv04M2","105","-KYFbPm6g_Op6JzxDgzw","3","2300","86","2700"
"217","uAJ4nRUy0KN4fCFdv3C0qzvv04M2","105","-KYFc_kP9C69Kx8TIdgc","4","1825","77","2400"
"218","uAJ4nRUy0KN4fCFdv3C0qzvv04M2","105","-KYFcfW0V1epU7Aiucms","5","2075","52","4000"
"219","uGSOapuSWZfkLATt17O3ERtfhxM2","106","-Kdfd7hdgFyfRdajzlZ0","1","3250","82","4000"
"220","uy7KtthbKnVlCuzhVH945kZFADL2","107","-KfHIfi7QIoSYRMkGNxR","1","2325","65","3600"
"221","vleUefqBjPVMxHihtsoF732fSHv2","108","-KYF8Cbvx9-1Xda8Sm0T","1","2350","72","3300"
"222","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYF1uWflgBwAPrUue0e","1","2225","75","3000"
"223","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYFhIvwDhcM91ZOatYs","2","2750","86","3200"
"224","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYFhn81q3aCQBb4d4aZ","3","2875","88","3300"
"225","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYFiAHHvN3H2VXrMvSD","4","3150","90","3500"
"226","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYFieClhRfgKAhiu8Re","5","3500","88","4000"
"227","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYFj6T0Dy6XjQFZIMVU","6","3350","89","3800"
"228","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYFjdoO93rTr5rMalI4","7","2625","88","3000"
"229","wdFXe6xEBreXiuKyyTRJXYb3fuw2","109","-KYFjuJYDZ49t7pnodEo","8","1700","95","1800"
